second	Volt	unc_seconds	unc_Volt
0.0	1.05503	1e-12	0.0158254499999999
9.999999999999e-07	0.009799	1e-19	0.000146985
2e-06	0.05	1e-18	0.00075
3e-06	0.090201	1e-18	0.001353015
4e-06	0.130402	1e-18	0.0019560299999999
5e-06	0.090201	1e-18	0.001353015
6e-06	0.130402	1e-18	0.0019560299999999
7e-06	0.170603	1e-18	0.002559045
8e-06	0.210804	1e-18	0.00316206
9e-06	0.210804	1e-18	0.00316206
1e-05	0.210804	1e-17	0.00316206
1.1e-05	0.251005	1e-17	0.0037650749999999
1.2e-05	0.291206	1e-17	0.00436809
1.3e-05	0.331407	1e-17	0.004971105
1.4e-05	0.331407	1e-17	0.004971105
1.5e-05	0.331407	1e-17	0.004971105
1.6e-05	0.411809	1e-17	0.0061771349999999
1.7e-05	0.411809	1e-17	0.0061771349999999
1.8e-05	0.411809	1e-17	0.0061771349999999
1.9e-05	0.45201	1e-17	0.00678015
2e-05	0.45201	1e-17	0.00678015
2.1e-05	0.492211	1e-17	0.007383165
2.2e-05	0.492211	1e-17	0.007383165
2.3e-05	0.532412	1e-17	0.0079861799999999
2.4e-05	0.572613	1e-17	0.008589195
2.5e-05	0.572613	1e-17	0.008589195
2.6e-05	0.612814	1e-17	0.00919221
2.7e-05	0.653015	1e-17	0.009795225
2.8e-05	0.653015	1e-17	0.009795225
2.9e-05	0.693216	1e-17	0.01039824
3e-05	0.693216	1e-17	0.01039824
3.1e-05	0.733417	1e-17	0.011001255
3.2e-05	0.733417	1e-17	0.011001255
3.3e-05	0.733417	1e-17	0.011001255
3.4e-05	0.773618	1e-17	0.01160427
3.5e-05	0.773618	1e-17	0.01160427
3.6e-05	0.773618	1e-17	0.01160427
3.7e-05	0.773618	1e-17	0.01160427
3.8e-05	0.85402	1e-17	0.0128103
3.9e-05	0.85402	1e-17	0.0128103
4e-05	0.894221	1e-17	0.013413315
4.1e-05	0.894221	1e-17	0.013413315
4.2e-05	0.85402	1e-17	0.0128103
4.3e-05	0.934422	1e-17	0.0140163299999999
4.4e-05	0.894221	1e-17	0.013413315
4.5e-05	0.934422	1e-17	0.0140163299999999
4.6e-05	0.934422	1e-17	0.0140163299999999
4.7e-05	0.974623	1e-17	0.0146193449999999
4.8e-05	0.934422	1e-17	0.0140163299999999
4.9e-05	0.934422	1e-17	0.0140163299999999
5e-05	1.01482	1e-17	0.0152223
5.1e-05	0.974623	1e-17	0.0146193449999999
5.2e-05	0.974623	1e-17	0.0146193449999999
5.3e-05	1.05503	1e-17	0.0158254499999999
5.4e-05	1.01482	1e-17	0.0152223
5.5e-05	1.01482	1e-17	0.0152223
5.6e-05	1.01482	1e-17	0.0152223
5.7e-05	1.01482	1e-17	0.0152223
5.8e-05	1.01482	1e-17	0.0152223
5.9e-05	1.01482	1e-17	0.0152223
6e-05	1.05503	1e-17	0.0158254499999999
6.1e-05	1.05503	1e-17	0.0158254499999999
6.2e-05	1.05503	1e-17	0.0158254499999999
6.3e-05	1.05503	1e-17	0.0158254499999999
6.4e-05	1.05503	1e-17	0.0158254499999999
6.5e-05	1.05503	1e-17	0.0158254499999999
6.6e-05	1.05503	1e-17	0.0158254499999999
6.7e-05	1.05503	1e-17	0.0158254499999999
6.8e-05	1.05503	1e-17	0.0158254499999999
6.9e-05	1.09523	1e-17	0.0164284499999999
7e-05	1.09523	1e-17	0.0164284499999999
7.1e-05	1.09523	1e-17	0.0164284499999999
7.2e-05	1.05503	1e-17	0.0158254499999999
7.3e-05	1.05503	1e-17	0.0158254499999999
7.4e-05	1.09523	1e-17	0.0164284499999999
7.5e-05	1.01482	1e-17	0.0152223
7.6e-05	1.05503	1e-17	0.0158254499999999
7.7e-05	1.01482	1e-17	0.0152223
7.8e-05	1.01482	1e-17	0.0152223
7.9e-05	1.05503	1e-17	0.0158254499999999
8e-05	1.05503	1e-17	0.0158254499999999
8.1e-05	1.01482	1e-17	0.0152223
8.2e-05	1.05503	1e-17	0.0158254499999999
8.3e-05	1.01482	1e-17	0.0152223
8.4e-05	1.01482	1e-17	0.0152223
8.5e-05	1.01482	1e-17	0.0152223
8.6e-05	0.974623	1e-17	0.0146193449999999
8.7e-05	0.974623	1e-17	0.0146193449999999
8.8e-05	0.974623	1e-17	0.0146193449999999
8.9e-05	0.974623	1e-17	0.0146193449999999
9e-05	0.974623	1e-17	0.0146193449999999
9.1e-05	0.934422	1e-17	0.0140163299999999
9.2e-05	0.974623	1e-17	0.0146193449999999
9.3e-05	0.894221	1e-17	0.013413315
9.4e-05	0.934422	1e-17	0.0140163299999999
9.5e-05	0.934422	1e-17	0.0140163299999999
9.6e-05	0.894221	1e-17	0.013413315
9.7e-05	0.85402	1e-17	0.0128103
9.8e-05	0.894221	1e-17	0.013413315
9.9e-05	0.85402	1e-17	0.0128103
0.0001	0.813819	1e-16	0.0122072849999999
0.000101	0.813819	1e-16	0.0122072849999999
0.000102	0.813819	1e-16	0.0122072849999999
0.000103	0.813819	1e-16	0.0122072849999999
0.000104	0.773618	1e-16	0.01160427
0.000105	0.733417	1e-16	0.011001255
0.000106	0.733417	1e-16	0.011001255
0.000107	0.693216	1e-16	0.01039824
0.000108	0.693216	1e-16	0.01039824
0.000109	0.653015	1e-16	0.009795225
0.00011	0.653015	1e-16	0.009795225
0.000111	0.612814	1e-16	0.00919221
0.000112	0.653015	1e-16	0.009795225
0.000113	0.612814	1e-16	0.00919221
0.000114	0.572613	1e-16	0.008589195
0.000115	0.572613	1e-16	0.008589195
0.000116	0.532412	1e-16	0.0079861799999999
0.000117	0.532412	1e-16	0.0079861799999999
0.000118	0.492211	1e-16	0.007383165
0.000119	0.532412	1e-16	0.0079861799999999
0.00012	0.45201	1e-16	0.00678015
0.000121	0.45201	1e-16	0.00678015
0.000122	0.45201	1e-16	0.00678015
0.000123	0.45201	1e-16	0.00678015
0.000124	0.411809	1e-16	0.0061771349999999
0.000125	0.371608	1e-16	0.00557412
0.000126	0.331407	1e-16	0.004971105
0.000127	0.331407	1e-16	0.004971105
0.000128	0.331407	1e-16	0.004971105
0.000129	0.291206	1e-16	0.00436809
